기간	컬럼1	컬럼2	합계	합계	합계	합계	합계	농업 임업 및 어업	농업 임업 및 어업	광업	광업	제조업	제조업	전기 가스 증기 및 수도사업	전기 가스 증기 및 수도사업	하수 · 폐기물 처리 원료재생 및 환경복원업	하수 · 폐기물 처리 원료재생 및 환경복원업	건설업	건설업	도매 및 소매업	도매 및 소매업	운수업	운수업	숙박 및 음식점업	숙박 및 음식점업	출판 영상 방송통신 및 정보서비스업	출판 영상 방송통신 및 정보서비스업	금융 및 보험업	금융 및 보험업	부동산업 및 임대업	부동산업 및 임대업	전문 과학 및 기술 서비스업	전문 과학 및 기술 서비스업	사업시설관리 및 사업지원 서비스업	사업시설관리 및 사업지원 서비스업	공공행정 국방 및 사회보장 행정	공공행정 국방 및 사회보장 행정	교육 서비스업	교육 서비스업	보건업 및 사회복지 서비스업	보건업 및 사회복지 서비스업	예술 스포츠 및 여가관련 서비스업	예술 스포츠 및 여가관련 서비스업	협회 및 단체 수리  및 기타 개인 서비스업	협회 및 단체 수리  및 기타 개인 서비스업
기간	컬럼1	컬럼2	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	컬럼1	컬럼2	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2007	종로구	숭인1동	447	142	1,404	648	756	-	-	-	-	94	380	-	-	-	-	3	11	132	342	33	61	61	228	4	15	1	10	21	69	8	16	4	9	2	16	19	71	15	75	6	17	44	84
2007	종로구	숭인2동	1,686	421	7,289	3,450	3,839	-	-	-	-	170	626	-	-	-	-	31	263	734	2,169	61	143	292	728	10	749	47	973	85	213	27	127	16	54	3	121	33	458	24	95	52	289	101	281
2007	중구	계	63,446	21,080	369,720	213,689	156,031	1	56	2	8	10,270	36,144	3	431	7	205	455	21,583	34,270	92,491	1,714	13,880	5,619	29,676	774	20,987	1,227	55,874	1,357	8,591	2,532	27,232	1,084	28,210	69	9,773	452	6,707	601	6,486	678	3,669	2,331	7,717
2007	중구	소공동	3,566	750	64,279	38,141	26,138	-	-	-	-	155	2,088	-	-	1	20	40	4,253	818	7,933	363	6,114	636	6,496	89	4,415	249	15,501	133	1,636	488	7,837	274	5,451	9	219	31	599	57	340	56	362	167	1,015
2007	중구	회현동	9,667	4,359	55,975	31,924	24,051	-	-	-	-	290	1,321	-	-	-	-	26	9,907	7,841	19,982	117	1,550	555	2,836	35	2,304	155	8,917	104	970	66	2,964	86	2,304	5	386	21	216	59	302	57	1,242	250	774
2007	중구	명동	7,171	2,071	87,117	53,271	33,846	-	-	-	-	524	2,399	1	255	1	6	73	2,790	2,506	9,371	310	3,415	1,150	8,298	171	7,652	544	26,043	280	2,106	427	8,059	434	7,008	20	5,646	60	694	140	1,045	96	374	434	1,956
2007	중구	필동	2,615	604	23,855	15,365	8,490	-	-	-	-	875	4,457	-	-	2	67	21	1,865	386	2,290	38	83	402	1,471	129	2,431	39	843	82	372	377	2,278	39	2,587	7	1,105	32	2,339	28	1,069	49	166	109	432
2007	중구	장충동	789	209	9,011	5,518	3,493	-	-	2	8	98	602	1	153	-	-	20	696	178	1,458	23	67	156	2,448	36	533	8	94	32	208	64	846	26	763	2	78	13	108	15	78	24	411	91	460
2007	중구	광희동	11,454	3,844	38,302	20,084	18,218	1	56	-	-	2,885	8,889	-	-	-	-	35	402	6,724	15,181	109	644	639	2,205	83	664	80	1,695	141	1,026	332	2,004	60	2,490	5	1,034	19	318	37	814	73	247	231	633
2007	중구	을지로동	9,872	1,734	33,482	21,565	11,917	-	-	-	-	3,970	10,284	-	-	-	-	65	305	3,874	10,141	73	397	560	1,743	113	1,018	97	2,060	150	512	539	1,647	84	3,294	3	318	18	69	47	1,027	65	144	214	523
