기간	자치구	동	합계	합계	합계	합계	합계	농업 임업 및 어업	농업 임업 및 어업	광업	광업	제조업	제조업	전기 가스 증기 및 수도사업	전기 가스 증기 및 수도사업	하수 · 폐기물 처리 원료재생 및 환경복원업	하수 · 폐기물 처리 원료재생 및 환경복원업	건설업	건설업	도매 및 소매업	도매 및 소매업	운수업	운수업	숙박 및 음식점업	숙박 및 음식점업	출판 영상 방송통신 및 정보서비스업	출판 영상 방송통신 및 정보서비스업	금융 및 보험업	금융 및 보험업	부동산업 및 임대업	부동산업 및 임대업	전문 과학 및 기술 서비스업	전문 과학 및 기술 서비스업	사업시설관리 및 사업지원 서비스업	사업시설관리 및 사업지원 서비스업	공공행정 국방 및 사회보장 행정	공공행정 국방 및 사회보장 행정	교육 서비스업	교육 서비스업	보건업 및 사회복지 서비스업	보건업 및 사회복지 서비스업	예술 스포츠 및 여가관련 서비스업	예술 스포츠 및 여가관련 서비스업	협회 및 단체 수리  및 기타 개인 서비스업	협회 및 단체 수리  및 기타 개인 서비스업
기간	자치구	동	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	동	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2015	중구	소계	66,190	24,249	423,808	234,337	189,471	-	-	3	7	10,259	29,501	7	1,048	8	159	451	7,364	34,785	100,132	1,666	16,214	6,142	32,250	1,105	28,536	1,329	67,203	1,750	10,133	3,008	39,106	1,415	41,010	65	19,394	508	9,983	697	8,718	584	3,980	2,408	9,070
2015	중구	소공동	4,208	1,246	72,671	41,936	30,735	-	-	-	-	113	363	-	-	-	-	32	852	1,392	9,198	330	6,675	743	6,421	111	4,863	279	19,901	143	1,129	435	7,826	264	10,811	5	81	42	1,909	71	792	48	539	200	1,311
2015	중구	회현동	10,216	5,264	53,872	29,270	24,602	-	-	-	-	244	716	1	122	-	-	18	781	8,256	20,657	116	2,143	655	3,488	40	5,088	200	10,989	145	977	80	3,629	102	2,762	6	441	21	224	65	442	36	753	231	660
2015	중구	명동	6,881	2,005	122,217	67,837	54,380	-	-	-	-	337	1,133	5	767	1	20	37	2,173	1,887	13,015	271	3,753	1,294	9,414	248	11,327	505	30,117	348	3,383	578	13,163	529	12,761	16	15,040	59	861	169	1,752	77	549	520	2,989
2015	중구	필동	3,326	833	26,810	14,986	11,824	-	-	-	-	1,100	4,778	-	-	1	33	26	765	476	1,912	43	256	476	1,802	202	2,456	52	1,184	107	416	479	2,660	63	2,716	8	1,256	56	3,833	41	1,395	56	698	140	650
2015	중구	장충동	908	254	9,553	5,694	3,859	-	-	-	-	122	492	1	159	1	5	19	1,041	239	1,901	25	334	167	1,714	44	680	9	70	41	511	90	1,216	25	419	3	114	19	121	12	64	20	410	71	302
2015	중구	광희동	9,459	3,198	39,381	21,600	17,781	-	-	2	3	2,777	7,330	-	-	-	-	41	491	4,674	13,502	105	670	682	3,286	93	958	92	1,573	174	971	400	5,524	95	1,640	3	1,146	26	256	41	1,290	55	150	199	591
2015	중구	을지로동	10,028	2,142	30,478	19,752	10,726	-	-	-	-	3,870	9,121	-	-	-	-	66	256	4,013	9,242	81	556	570	1,701	157	1,291	91	1,915	195	514	511	1,886	103	1,641	4	576	23	128	43	780	67	202	234	669
2015	중구	신당5동	1,346	476	3,957	1,939	2,018	-	-	1	4	290	967	-	-	1	2	28	107	411	1,000	65	155	221	514	18	61	7	70	46	94	24	78	14	50	2	36	24	282	37	253	38	88	119	196
2015	중구	황학동	2,038	644	7,077	3,925	3,152	-	-	-	-	226	487	-	-	-	-	23	76	1,158	2,952	75	131	291	777	10	63	11	171	54	149	24	82	8	1,675	2	14	11	93	19	110	23	45	103	252
2015	중구	중림동	1,058	330	7,419	4,050	3,369	-	-	-	-	79	285	-	-	1	32	18	60	288	1,256	87	753	212	617	42	1,030	25	628	53	310	48	1,085	26	299	3	40	29	449	33	207	23	79	91	289
2015	중구	신당동	12,641	6,478	29,091	12,396	16,695	-	-	-	-	567	1,581	-	-	1	30	30	45	10,873	21,452	75	224	342	1,035	28	125	32	386	215	925	142	405	104	1,176	7	525	15	512	25	224	44	177	141	269
2015	중구	다산동	1,430	451	9,640	4,638	5,002	-	-	-	-	162	605	-	-	-	-	47	318	407	1,485	110	192	173	546	55	358	10	100	70	213	104	1,099	52	3,434	1	16	44	416	46	399	30	78	119	381
2015	중구	약수동	906	365	3,524	1,728	1,796	-	-	-	-	45	177	-	-	1	21	25	101	231	756	103	152	137	405	20	78	5	44	62	262	32	115	11	205	3	82	52	198	48	667	29	87	102	174
2015	중구	청구동	813	268	4,296	2,617	1,679	-	-	-	-	88	373	-	-	1	16	24	237	220	664	105	131	86	274	24	105	6	23	43	99	36	174	14	1,366	1	14	57	455	21	163	17	83	70	119
2015	중구	동화동	932	295	3,822	1,969	1,853	-	-	-	-	239	1,093	-	-	-	-	17	61	260	1,140	75	89	93	256	13	53	5	32	54	180	25	164	5	55	1	13	30	246	26	180	21	42	68	218
2015	용산구	소계	21,178	7,030	133,446	76,287	57,159	-	-	-	-	1,100	3,444	3	55	12	167	440	7,483	7,714	30,638	1,292	4,458	4,245	18,235	602	7,519	312	5,781	1,035	4,653	819	11,387	355	13,396	48	4,257	541	8,129	541	5,909	397	2,023	1,722	5,912
2015	용산구	후암동	858	320	5,134	2,340	2,794	-	-	-	-	58	174	-	-	-	-	26	400	219	603	104	112	166	483	19	526	3	25	43	75	27	190	8	1,546	3	99	39	247	40	318	11	111	92	225
2015	용산구	용산2가동	614	199	3,132	1,694	1,438	-	-	-	-	46	101	-	-	-	-	13	23	144	276	85	130	137	505	14	72	3	22	27	49	24	44	5	104	3	1,074	20	452	17	88	12	66	64	126
2015	용산구	남영동	1,706	619	16,467	9,624	6,843	-	-	-	-	73	320	1	7	1	15	24	1,734	441	2,014	45	927	469	2,541	55	690	94	2,929	60	231	67	1,868	63	1,436	3	56	55	374	63	463	60	298	132	564
2015	용산구	원효로2동	1,127	286	8,176	5,436	2,740	-	-	-	-	31	112	-	-	1	22	30	286	539	2,629	93	143	110	287	37	778	7	59	49	553	26	149	17	1,408	1	14	43	1,065	23	147	17	49	103	475
2015	용산구	효창동	479	144	2,582	1,515	1,067	-	-	-	-	19	46	-	-	-	-	30	543	107	429	74	247	55	136	19	96	3	36	25	55	14	66	8	89	1	14	38	248	33	365	9	27	44	185
2015	용산구	용문동	656	271	1,763	905	858	-	-	-	-	26	106	-	-	-	-	23	98	210	614	89	99	115	237	12	82	3	17	28	65	10	15	2	15	1	14	27	79	25	143	12	24	73	155
2015	용산구	이촌1동	836	398	4,069	1,838	2,231	-	-	-	-	5	13	-	-	-	-	13	45	235	586	27	210	191	776	7	38	20	189	87	461	14	119	2	7	3	49	50	604	58	423	21	116	103	433
2015	용산구	이촌2동	350	93	823	566	257	-	-	-	-	13	24	-	-	2	30	11	24	84	219	100	111	29	60	7	52	2	18	28	89	2	5	4	14	2	42	13	21	8	38	1	1	44	75
2015	용산구	이태원1동	1,716	760	8,014	4,269	3,745	-	-	-	-	55	99	-	-	-	-	14	48	744	1,441	30	72	608	3,304	16	102	21	93	41	228	32	120	18	315	5	1,661	8	108	18	216	15	33	91	174
2015	용산구	이태원2동	788	287	3,340	1,997	1,343	-	-	-	-	23	61	-	-	-	-	12	137	178	886	62	89	309	1,201	14	96	11	51	48	315	28	89	7	24	1	14	13	174	19	86	12	30	51	87
2015	용산구	서빙고동	413	127	4,337	2,785	1,552	-	-	-	-	11	41	-	-	1	2	23	1,014	113	945	65	254	52	227	13	435	4	28	23	196	17	86	7	33	2	42	22	258	7	51	8	372	45	353
2015	용산구	보광동	803	319	2,068	1,137	931	-	-	-	-	27	36	-	-	1	36	20	30	190	390	115	121	168	418	2	7	4	29	51	100	21	73	6	48	2	52	28	308	29	161	13	18	126	241
2015	용산구	청파동	1,890	666	9,173	4,455	4,718	-	-	-	-	381	1,137	1	1	-	-	33	257	396	896	129	263	395	1,032	61	427	14	101	78	166	44	689	30	360	3	36	61	2,714	37	381	39	165	188	548
2015	용산구	원효로1동	1,917	544	11,433	7,479	3,954	-	-	-	-	136	483	1	47	-	-	36	629	791	3,460	77	358	302	1,033	85	424	37	453	91	360	89	695	28	2,023	3	431	35	332	44	314	38	73	124	318
2015	용산구	한강로동	4,943	1,240	36,080	21,271	14,809	-	-	-	-	124	462	-	-	6	62	70	1,178	2,829	11,784	98	1,103	602	2,703	180	3,224	60	1,495	199	1,259	220	4,567	93	4,858	13	620	51	534	65	648	56	280	277	1,303
2015	용산구	한남동	2,082	757	16,855	8,976	7,879	-	-	-	-	72	229	-	-	-	-	62	1,037	494	3,466	99	219	537	3,292	61	470	26	236	157	451	184	2,612	57	1,116	2	39	38	611	55	2,067	73	360	165	650
