기간	자치구	동	합계	합계	합계	합계	합계	농업 임업 및 어업	농업 임업 및 어업	광업	광업	제조업	제조업	전기 가스 증기 및 수도사업	전기 가스 증기 및 수도사업	하수 · 폐기물 처리 원료재생 및 환경복원업	하수 · 폐기물 처리 원료재생 및 환경복원업	건설업	건설업	도매 및 소매업	도매 및 소매업	운수업	운수업	숙박 및 음식점업	숙박 및 음식점업	출판 영상 방송통신 및 정보서비스업	출판 영상 방송통신 및 정보서비스업	금융 및 보험업	금융 및 보험업	부동산업 및 임대업	부동산업 및 임대업	전문 과학 및 기술 서비스업	전문 과학 및 기술 서비스업	사업시설관리 및 사업지원 서비스업	사업시설관리 및 사업지원 서비스업	공공행정 국방 및 사회보장 행정	공공행정 국방 및 사회보장 행정	교육 서비스업	교육 서비스업	보건업 및 사회복지 서비스업	보건업 및 사회복지 서비스업	예술 스포츠 및 여가관련 서비스업	예술 스포츠 및 여가관련 서비스업	협회 및 단체 수리  및 기타 개인 서비스업	협회 및 단체 수리  및 기타 개인 서비스업
기간	자치구	동	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	동	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2016	합계	합계	820,156	274,620	5,079,451	2,847,402	2,232,049	24	463	18	54	61,140	279,103	137	7,617	439	6,597	22,260	365,074	230,834	891,454	94,842	276,926	128,141	470,357	23,356	344,155	10,955	269,712	40,946	177,672	39,104	435,086	13,375	460,776	1,293	136,043	34,065	333,486	27,267	332,028	21,653	84,990	70,307	207,858
2016	종로구	소계	40,664	13,420	268,309	154,334	113,975	2	36	1	5	4,364	12,708	6	384	7	135	354	29,630	17,310	45,461	1,384	6,835	6,620	26,773	879	16,898	567	20,406	1,377	8,260	1,489	21,603	1,119	20,542	92	16,396	880	13,130	699	14,278	927	6,332	2,587	8,497
2016	종로구	사직동	3,489	1,116	53,850	31,642	22,208	1	18	-	-	71	228	1	4	2	32	37	7,141	579	3,866	245	2,246	856	4,166	193	2,533	132	4,744	167	2,000	302	7,229	357	8,172	18	7,165	88	890	93	738	88	1,514	259	1,164
2016	종로구	삼청동	751	348	4,823	2,348	2,475	-	-	-	-	15	82	-	-	-	-	6	35	288	958	20	65	240	1,106	18	116	6	47	28	88	47	293	12	35	4	1,199	20	354	7	29	15	163	25	253
2016	종로구	부암동	575	230	3,690	1,896	1,794	-	-	1	5	25	127	-	-	-	-	26	83	104	508	36	40	130	380	23	112	5	41	22	52	26	89	7	17	3	60	43	1,530	10	90	17	80	97	476
2016	종로구	평창동	708	312	2,990	1,405	1,585	-	-	-	-	14	94	-	-	-	-	21	104	139	496	39	146	154	509	16	50	8	66	48	130	32	268	8	12	3	85	52	236	35	366	33	163	106	265
2016	종로구	무악동	573	116	1,472	756	716	-	-	-	-	6	10	-	-	-	-	8	59	46	108	363	372	28	88	3	7	3	17	16	75	3	3	2	12	1	13	27	169	10	400	5	16	52	123
2016	종로구	교남동	302	101	3,612	1,504	2,108	-	-	-	-	7	15	-	-	-	-	8	54	64	222	29	68	53	205	8	38	7	22	27	65	9	203	6	19	2	42	15	150	12	2,304	8	23	47	182
2016	종로구	가회동	770	367	14,215	10,794	3,421	-	-	-	-	33	241	-	-	-	-	11	7,675	186	505	20	28	241	961	25	1,031	8	113	30	62	60	1,700	14	200	3	417	35	705	14	162	32	185	58	230
2016	종로구	종로1.2.3.4가동	15,970	5,030	110,743	66,141	44,602	-	-	-	-	1,933	5,325	4	378	3	19	85	13,676	7,529	19,668	168	2,013	2,325	10,518	327	10,855	242	12,393	488	4,019	600	8,275	545	10,091	25	4,767	307	3,121	180	1,348	259	1,323	950	2,954
2016	종로구	종로5·6가동	7,691	2,464	23,392	14,459	8,933	-	-	-	-	902	2,611	-	-	-	-	23	99	5,175	11,307	69	983	632	2,052	62	1,085	32	994	172	694	102	853	57	607	5	304	43	328	103	410	41	162	273	903
2016	종로구	이화동	1,248	418	16,032	6,683	9,349	1	18	-	-	81	274	1	2	-	-	17	58	231	1,206	33	105	351	1,867	68	462	10	82	54	166	69	1,238	11	165	3	74	45	2,097	27	6,910	144	939	102	369
2016	종로구	창신1동	2,273	706	6,340	3,115	3,225	-	-	-	-	316	747	-	-	1	47	8	26	1,279	2,439	42	110	262	699	14	45	34	577	60	209	27	103	18	415	1	19	13	115	42	268	41	181	115	340
2016	종로구	창신2동	872	287	2,429	1,071	1,358	-	-	-	-	394	1,198	-	-	-	-	11	15	131	241	40	52	119	284	4	6	5	31	18	24	5	19	8	9	2	90	8	20	28	236	19	38	80	166
2016	종로구	창신3동	283	85	874	460	414	-	-	-	-	45	125	-	-	1	37	7	16	58	140	54	87	27	60	4	12	1	7	23	63	3	16	-	-	2	60	14	121	9	76	4	9	31	45
2016	종로구	숭인1동	533	180	1,587	716	871	-	-	-	-	167	579	-	-	-	-	6	20	116	323	40	62	53	134	9	21	6	31	20	37	15	38	7	46	1	14	13	41	23	113	8	21	49	107
2016	종로구	숭인2동	1,881	534	6,819	3,196	3,623	-	-	-	-	277	843	-	-	-	-	31	245	820	1,744	63	146	266	605	23	113	45	1,034	86	258	39	281	30	634	3	77	33	357	25	83	39	197	101	202
2016	종로구	청운효자동	1,009	452	6,415	3,523	2,892	-	-	-	-	46	106	-	-	-	-	25	99	250	673	45	150	258	721	33	130	11	106	53	111	73	382	10	55	10	1,870	43	676	32	487	20	547	100	302
2016	종로구	혜화동	1,736	674	9,026	4,625	4,401	-	-	-	-	32	103	-	-	-	-	24	225	315	1,057	78	162	625	2,418	49	282	12	101	65	207	77	613	27	53	6	140	81	2,220	49	258	154	771	142	416
2016	중구	소계	63,640	23,442	402,892	221,757	181,135	-	-	2	4	9,799	29,206	6	998	8	132	430	7,041	33,395	95,682	1,544	15,777	6,083	32,536	1,006	28,301	1,298	56,499	1,743	10,370	2,780	38,862	1,397	37,639	67	19,383	481	8,849	710	8,769	574	3,918	2,317	8,926
2016	중구	소공동	3,929	1,178	65,041	37,752	27,289	-	-	-	-	95	243	-	-	-	-	31	755	1,321	8,572	287	6,506	717	6,453	102	4,721	257	15,103	140	1,140	387	8,559	243	8,804	5	114	46	1,270	67	773	42	535	189	1,493
2016	중구	회현동	9,697	5,035	52,540	28,140	24,400	-	-	-	-	223	699	1	124	-	-	19	925	7,811	19,684	105	2,548	632	3,388	37	5,319	194	10,122	146	1,174	80	4,046	97	2,104	6	450	22	188	67	399	31	738	226	632
