기간	자치구	합계	합계	합계	합계	농업및임업	농업및임업	농업및임업	농업및임업	어업	어업	어업	어업	광업	광업	광업	광업	제조업	제조업	제조업	제조업	전기가스수도사업	전기가스수도사업	전기가스수도사업	전기가스수도사업	건설업	건설업	건설업	건설업	도소매업	도소매업	도소매업	도소매업	숙박및음식점업	숙박및음식점업	숙박및음식점업	숙박및음식점업	운수업	운수업	운수업	운수업	통신업	통신업	통신업	통신업	금융및보험업	금융및보험업	금융및보험업	금융및보험업	부동산업및임대업	부동산업및임대업	부동산업및임대업	부동산업및임대업	사업서비스업	사업서비스업	사업서비스업	사업서비스업	공공행정국방및사회보장행정	공공행정국방및사회보장행정	공공행정국방및사회보장행정	공공행정국방및사회보장행정	교육서비스업	교육서비스업	교육서비스업	교육서비스업	보건및사회복지사업	보건및사회복지사업	보건및사회복지사업	보건및사회복지사업	오락문화및운동관련서비스업	오락문화및운동관련서비스업	오락문화및운동관련서비스업	오락문화및운동관련서비스업	기타공공및개인서비스업	기타공공및개인서비스업	기타공공및개인서비스업	기타공공및개인서비스업
기간	자치구	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수
기간	자치구	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자
2004	강북구	20,189	62,250	32,172	30,078	-	-	-	-	-	-	-	-	-	-	-	-	1,612	7,393	-	-	7	330	-	-	404	1,561	-	-	4,609	10,416	-	-	4,288	10,208	-	-	3,365	6,667	-	-	33	658	-	-	206	3,693	-	-	856	1,872	-	-	325	1,924	-	-	45	2,159	-	-	619	4,996	-	-	528	3,276	-	-	1,033	2,517	-	-	2,259	4,580	-	-
2004	도봉구	17,421	59,836	34,277	25,559	-	-	-	-	-	-	-	-	2	13	-	-	1,142	6,278	-	-	6	42	-	-	352	1,506	-	-	3,571	10,813	-	-	2,876	7,117	-	-	4,315	9,630	-	-	36	366	-	-	90	1,046	-	-	866	2,893	-	-	239	1,458	-	-	37	2,494	-	-	768	6,935	-	-	474	2,958	-	-	740	1,799	-	-	1,907	4,488	-	-
2004	노원구	24,668	94,896	50,697	44,199	-	-	-	-	-	-	-	-	-	-	-	-	902	4,692	-	-	9	450	-	-	373	1,365	-	-	4,808	14,601	-	-	3,948	11,740	-	-	6,708	12,101	-	-	46	755	-	-	213	4,139	-	-	1,376	5,992	-	-	404	2,172	-	-	53	3,342	-	-	1,310	16,851	-	-	971	8,214	-	-	1,097	2,967	-	-	2,450	5,515	-	-
2004	은평구	23,218	73,841	39,324	34,517	1	12	-	-	-	-	-	-	1	2	-	-	1,182	4,975	-	-	3	122	-	-	452	2,583	-	-	5,640	15,427	-	-	4,352	10,933	-	-	4,547	8,016	-	-	26	469	-	-	170	2,767	-	-	1,059	2,123	-	-	342	2,166	-	-	56	4,250	-	-	1,028	7,421	-	-	679	4,771	-	-	1,024	2,478	-	-	2,656	5,326	-	-
2004	서대문구	21,179	86,976	46,687	40,289	-	-	-	-	-	-	-	-	1	2	-	-	1,013	4,825	-	-	6	530	-	-	409	2,128	-	-	5,138	14,105	-	-	4,708	14,218	-	-	3,590	6,492	-	-	47	631	-	-	211	5,423	-	-	921	2,322	-	-	459	5,579	-	-	51	4,842	-	-	778	9,651	-	-	560	8,245	-	-	950	2,359	-	-	2,337	5,624	-	-
2004	마포구	25,777	135,502	81,160	54,342	-	-	-	-	2	8	-	-	-	-	-	-	2,031	16,023	-	-	10	664	-	-	770	7,355	-	-	6,395	26,804	-	-	4,937	15,244	-	-	3,194	12,363	-	-	100	1,465	-	-	333	7,655	-	-	1,330	5,382	-	-	1,634	15,546	-	-	60	4,200	-	-	869	9,137	-	-	598	3,066	-	-	1,007	3,719	-	-	2,507	6,871	-	-
2004	양천구	24,700	100,215	56,696	43,519	-	-	-	-	-	-	-	-	1	1	-	-	1,564	9,117	-	-	11	662	-	-	719	4,387	-	-	5,732	19,186	-	-	3,844	10,579	-	-	4,683	10,299	-	-	70	1,665	-	-	199	2,550	-	-	1,302	4,329	-	-	773	7,239	-	-	61	3,765	-	-	1,368	10,857	-	-	677	5,561	-	-	1,110	4,312	-	-	2,586	5,706	-	-
2004	강서구	28,749	137,524	80,830	56,694	1	2	-	-	-	-	-	-	-	-	-	-	1,518	11,905	-	-	10	469	-	-	786	7,040	-	-	6,915	24,744	-	-	4,996	14,575	-	-	6,261	27,594	-	-	63	966	-	-	209	4,504	-	-	1,361	4,833	-	-	606	11,483	-	-	57	3,650	-	-	1,045	9,658	-	-	711	5,055	-	-	1,260	3,249	-	-	2,950	7,797	-	-
2004	구로구	30,301	138,021	90,035	47,986	2	13	-	-	-	-	-	-	-	-	-	-	4,309	25,268	-	-	7	377	-	-	826	9,912	-	-	9,351	27,872	-	-	4,204	10,588	-	-	4,214	9,077	-	-	87	1,074	-	-	219	3,423	-	-	1,089	4,080	-	-	1,451	20,398	-	-	52	4,010	-	-	729	7,288	-	-	555	4,143	-	-	957	3,227	-	-	2,249	7,271	-	-
2004	금천구	20,576	114,525	74,175	40,350	-	-	-	-	-	-	-	-	1	26	-	-	4,073	45,139	-	-	4	47	-	-	604	4,165	-	-	5,797	19,442	-	-	2,960	7,076	-	-	2,373	6,441	-	-	58	1,001	-	-	102	1,206	-	-	580	1,900	-	-	770	14,395	-	-	30	1,524	-	-	453	4,118	-	-	374	2,052	-	-	640	1,884	-	-	1,757	4,109	-	-
2004	영등포구	39,955	258,937	166,569	92,368	1	13	-	-	1	1	-	-	4	26	-	-	5,206	33,261	-	-	10	981	-	-	1,152	12,628	-	-	12,012	47,528	-	-	6,601	19,914	-	-	4,312	10,009	-	-	97	1,546	-	-	623	31,040	-	-	1,498	7,481	-	-	2,248	48,681	-	-	71	8,123	-	-	843	6,734	-	-	728	8,361	-	-	1,412	12,575	-	-	3,136	10,035	-	-
2004	동작구	20,153	90,029	49,552	40,477	-	-	-	-	-	-	-	-	1	9	-	-	994	8,248	-	-	10	450	-	-	512	3,282	-	-	5,739	15,509	-	-	3,819	10,402	-	-	2,383	3,931	-	-	43	1,783	-	-	203	3,965	-	-	1,183	3,645	-	-	513	11,972	-	-	52	2,594	-	-	856	11,131	-	-	604	5,265	-	-	971	2,757	-	-	2,270	5,086	-	-
2004	관악구	27,406	99,039	52,227	46,812	1	8	-	-	-	-	-	-	-	-	-	-	1,784	10,059	-	-	6	85	-	-	820	5,032	-	-	5,974	15,703	-	-	5,872	16,230	-	-	4,265	6,468	-	-	75	1,445	-	-	194	2,820	-	-	1,387	3,135	-	-	726	6,771	-	-	64	3,512	-	-	1,047	13,345	-	-	686	3,591	-	-	1,539	4,708	-	-	2,966	6,127	-	-
2004	서초구	35,229	287,705	183,190	104,515	7	30	-	-	2	35	-	-	4	18	-	-	1,795	22,183	-	-	11	268	-	-	2,159	32,640	-	-	10,972	61,845	-	-	5,312	23,500	-	-	1,297	8,671	-	-	156	3,836	-	-	517	11,608	-	-	2,096	11,645	-	-	4,961	69,343	-	-	68	9,056	-	-	1,055	9,821	-	-	839	7,570	-	-	1,252	5,413	-	-	2,726	10,223	-	-
2004	강남구	51,414	496,490	297,441	199,049	8	60	-	-	5	295	-	-	7	125	-	-	2,314	39,725	-	-	26	4,107	-	-	2,430	35,885	-	-	13,457	98,913	-	-	8,427	48,454	-	-	3,069	10,211	-	-	236	6,796	-	-	1,138	27,553	-	-	3,860	30,984	-	-	7,252	129,112	-	-	69	4,471	-	-	1,671	16,077	-	-	1,717	17,544	-	-	1,957	10,543	-	-	3,771	15,635	-	-
2004	송파구	40,144	213,643	129,641	84,002	3	187	-	-	2	81	-	-	6	34	-	-	2,097	17,688	-	-	8	102	-	-	1,725	21,457	-	-	12,612	46,778	-	-	6,144	21,946	-	-	5,147	10,228	-	-	85	1,708	-	-	396	7,468	-	-	2,074	8,475	-	-	1,784	31,618	-	-	71	4,443	-	-	1,523	12,669	-	-	962	10,966	-	-	1,794	7,290	-	-	3,711	10,505	-	-
2004	강동구	27,604	99,196	55,379	43,817	1	10	-	-	-	-	-	-	1	1	-	-	1,650	8,537	-	-	7	430	-	-	907	6,660	-	-	6,413	19,316	-	-	4,815	13,258	-	-	5,445	9,271	-	-	47	711	-	-	237	4,222	-	-	1,513	4,627	-	-	547	5,152	-	-	43	2,211	-	-	1,142	9,244	-	-	736	6,223	-	-	1,282	3,364	-	-	2,818	5,959	-	-
